Provincia,Comune,DataEN,Parametro,Risultato,LAT_WGS84,LON_WGS84,Matrice
UD,Fiumicello,03/18/2010 12:00:00 AM,Temperatura acqua,10,45.80293,13.43118,RW-Corsi dacqua
UD,Buja,06/24/2013 12:00:00 AM,Fosfati,0.05,46.20791,13.0891,RW-Corsi dacqua
UD,Bordano,06/20/2019 12:00:00 AM,pH,8.1,46.31529,13.12074,RW-Corsi dacqua
UD,Tolmezzo,08/29/2012 12:00:00 AM,Temperatura acqua,18.3,46.44126,12.97313,RW-Corsi dacqua
UD,San Daniele del Friuli,11/14/2006 12:00:00 AM,pH,7.8,46.2099,13.02744,RW-Corsi dacqua
UD,Tarvisio,08/17/2016 12:00:00 AM,Conducibilità elettrica a 20°C,222,46.48161,13.67274,LW-Laghi e invasi
PN,San Martino al Tagliamento,11/28/2018 12:00:00 AM,Fosfati,0.05,46.02204,12.85483,RW-Corsi dacqua
UD,Bordano,11/15/2007 12:00:00 AM,Conducibilità elettrica a 20°C,525,46.31529,13.12074,RW-Corsi dacqua
UD,Pontebba,12/10/2018 12:00:00 AM,Conducibilità elettrica a 20°C,337,46.50523,13.36626,RW-Corsi dacqua
UD,Latisana,05/22/2007 12:00:00 AM,Conducibilità elettrica a 20°C,540,45.77247,12.99656,RW-Corsi dacqua
PN,Azzano Decimo,11/03/2016 12:00:00 AM,pH,8.1,45.87841,12.72266,RW-Corsi dacqua
PN,Morsano al Tagliamento,02/16/2017 12:00:00 AM,pH,7.8,45.85455,12.95896,RW-Corsi dacqua
TS,Duino-Aurisina,03/03/2008 12:00:00 AM,Fosfati,0.044,45.78741,13.59086,RW-Corsi dacqua
PN,Zoppola,04/22/2010 12:00:00 AM,Conducibilità elettrica a 20°C,433,45.9476,12.76983,RW-Corsi dacqua
PN,Maniago,04/02/2012 12:00:00 AM,Fosfati,0.2,46.13177,12.75161,RW-Corsi dacqua
UD,Nimis,04/29/2013 12:00:00 AM,Conducibilità elettrica a 20°C,239,46.21971,13.27695,RW-Corsi dacqua
UD,Resia,01/16/2012 12:00:00 AM,Conducibilità elettrica a 20°C,424,46.37692,13.25806,RW-Corsi dacqua
PN,Morsano al Tagliamento,07/13/2017 12:00:00 AM,pH,8.2,45.87881,12.96208,RW-Corsi dacqua
UD,Torreano,10/17/2017 12:00:00 AM,Fosfati,0.05,46.15049,13.43724,RW-Corsi dacqua
UD,Moggio Udinese,08/06/2019 12:00:00 AM,Conducibilità elettrica a 20°C,361,46.40636,13.19897,RW-Corsi dacqua
PN,Prata di Pordenone,04/08/2015 12:00:00 AM,pH,8.2,45.84299,12.55745,RW-Corsi dacqua
UD,Ampezzo,06/27/2012 12:00:00 AM,Temperatura acqua,14.2,46.4334,12.72416,RW-Corsi dacqua
PN,Cimolais,04/13/2010 12:00:00 AM,Fosfati,0.18,46.3222,12.45872,RW-Corsi dacqua
TS,San Dorligo della Valle - Dolina,09/20/2010 12:00:00 AM,pH,8.1,45.61509,13.88149,RW-Corsi dacqua
TS,San Dorligo della Valle - Dolina,06/15/2011 12:00:00 AM,Fosfati,0.249,45.58248,13.83654,RW-Corsi dacqua
UD,Fiumicello,04/28/2016 12:00:00 AM,pH,7.7,45.77522,13.41847,RW-Corsi dacqua
PN,Prata di Pordenone,02/25/2015 12:00:00 AM,pH,7.8,45.85273,12.5518,RW-Corsi dacqua
PN,Sesto al Reghena,04/14/2014 12:00:00 AM,Fosfati,0.058,45.8651,12.86092,RW-Corsi dacqua
UD,Tarvisio,07/31/2012 12:00:00 AM,Temperatura acqua,14.3,46.48161,13.67274,LW-Laghi e invasi
UD,Bertiolo,04/17/2013 12:00:00 AM,Fosfati,0.05,45.93313,13.07771,RW-Corsi dacqua
TS,Muggia,11/22/2010 12:00:00 AM,Conducibilità elettrica a 20°C,505,45.58752,13.81634,RW-Corsi dacqua
PN,Frisanco,06/27/2014 12:00:00 AM,Fosfati,0.153,46.26188,12.69275,LW-Laghi e invasi
UD,Ampezzo,07/08/2009 12:00:00 AM,Conducibilità elettrica a 20°C,488,46.42834,12.7862,RW-Corsi dacqua
UD,Prato Carnico,04/07/2014 12:00:00 AM,Conducibilità elettrica a 20°C,406,46.51588,12.81847,RW-Corsi dacqua
UD,Manzano,11/26/2009 12:00:00 AM,Conducibilità elettrica a 20°C,302,45.99243,13.38929,RW-Corsi dacqua
PN,Morsano al Tagliamento,07/14/2010 12:00:00 AM,pH,8,45.85455,12.95896,RW-Corsi dacqua
UD,Ragogna,11/14/2018 12:00:00 AM,Conducibilità elettrica a 20°C,281,46.17663,13.00322,LW-Laghi e invasi
UD,Gemona del Friuli,06/21/2012 12:00:00 AM,Conducibilità elettrica a 20°C,321,46.25982,13.13389,RW-Corsi dacqua
UD,Malborghetto Valbruna,08/16/2018 12:00:00 AM,Fosfati,0.05,46.50926,13.47132,RW-Corsi dacqua
PN,Cavasso Nuovo,07/14/2010 12:00:00 AM,Temperatura acqua,17.4,46.20538,12.78349,RW-Corsi dacqua
PN,Porcia,07/12/2018 12:00:00 AM,pH,8.6,45.96367,12.62737,RW-Corsi dacqua
PN,Sesto al Reghena,09/28/2015 12:00:00 AM,Temperatura acqua,15.7,45.84996,12.86262,RW-Corsi dacqua
UD,Trasaghis,08/12/2020 12:00:00 AM,Conducibilità elettrica a 20°C,224,46.29948,13.04339,RW-Corsi dacqua
GO,Savogna d'Isonzo,07/13/2010 12:00:00 AM,Fosfati,0.1226,45.88979,13.58755,RW-Corsi dacqua
UD,Prato Carnico,10/16/2018 12:00:00 AM,pH,8.3,46.51588,12.81847,RW-Corsi dacqua
UD,Ragogna,08/08/2018 12:00:00 AM,Temperatura acqua,26.5,46.17663,13.00322,LW-Laghi e invasi
UD,Ovaro,08/27/2009 12:00:00 AM,pH,8.5,46.51323,12.86407,RW-Corsi dacqua
UD,Moggio Udinese,08/06/2013 12:00:00 AM,Conducibilità elettrica a 20°C,364,46.40636,13.19897,RW-Corsi dacqua
UD,Venzone,11/15/2007 12:00:00 AM,Conducibilità elettrica a 20°C,245,46.3349,13.14581,RW-Corsi dacqua
UD,Precenicco,08/16/2007 12:00:00 AM,pH,8,45.78316,13.07991,RW-Corsi dacqua
UD,Montenars,08/28/2017 12:00:00 AM,Conducibilità elettrica a 20°C,330,46.2482,13.15962,RW-Corsi dacqua
UD,Castions di Strada,08/26/2010 12:00:00 AM,Fosfati,0.091,45.86879,13.1655,RW-Corsi dacqua
UD,Tarvisio,04/18/2019 12:00:00 AM,Fosfati,0.05,46.50415,13.59224,RW-Corsi dacqua
TS,San Dorligo della Valle - Dolina,03/24/2015 12:00:00 AM,Temperatura acqua,16.1,45.61085,13.8568,RW-Corsi dacqua
UD,Ragogna,01/09/2013 12:00:00 AM,pH,8.1,46.17658,12.95722,RW-Corsi dacqua
UD,Tarvisio,09/14/2017 12:00:00 AM,pH,8,46.42042,13.56553,LW-Laghi e invasi
TS,San Dorligo della Valle - Dolina,11/20/2012 12:00:00 AM,Fosfati,0.1992,45.60726,13.82014,RW-Corsi dacqua
UD,Tarvisio,05/13/2013 12:00:00 AM,Fosfati,0.153,46.48161,13.67274,LW-Laghi e invasi
PN,Sesto al Reghena,03/24/2011 12:00:00 AM,pH,8,45.8403,12.80508,RW-Corsi dacqua
TS,Muggia,01/04/2011 12:00:00 AM,Conducibilità elettrica a 20°C,540,45.58752,13.81634,RW-Corsi dacqua
UD,Fiumicello,08/11/2014 12:00:00 AM,pH,8.2,45.80293,13.43118,RW-Corsi dacqua
UD,Fiumicello,11/15/2011 12:00:00 AM,Conducibilità elettrica a 20°C,417,45.77284,13.40296,RW-Corsi dacqua
PN,Morsano al Tagliamento,05/05/2015 12:00:00 AM,pH,8,45.87881,12.96208,RW-Corsi dacqua
UD,Venzone,05/04/2011 12:00:00 AM,Temperatura acqua,10.1,46.3349,13.14581,RW-Corsi dacqua
TS,Duino-Aurisina,02/07/2011 12:00:00 AM,Temperatura acqua,11.5,45.78741,13.59086,RW-Corsi dacqua
UD,Cercivento,11/29/2018 12:00:00 AM,pH,8.4,46.53747,13.00955,RW-Corsi dacqua
UD,Amaro,12/12/2007 12:00:00 AM,Fosfati,0.092,46.37348,13.05836,RW-Corsi dacqua
UD,Premariacco,11/06/2018 12:00:00 AM,Conducibilità elettrica a 20°C,281,46.03611,13.38418,RW-Corsi dacqua
UD,Resia,01/29/2015 12:00:00 AM,Temperatura acqua,5.8,46.36837,13.29485,RW-Corsi dacqua
UD,Attimis,06/25/2013 12:00:00 AM,Temperatura acqua,14.9,46.17598,13.29652,RW-Corsi dacqua
UD,Fiumicello,09/05/2006 12:00:00 AM,Fosfati,0.0368,45.80293,13.43118,RW-Corsi dacqua
UD,Amaro,03/26/2008 12:00:00 AM,Conducibilità elettrica a 20°C,645,46.37348,13.05836,RW-Corsi dacqua
UD,Forni di Sotto,05/11/2015 12:00:00 AM,Fosfati,0.05,46.37998,12.66697,RW-Corsi dacqua
UD,Ovaro,11/11/2009 12:00:00 AM,Conducibilità elettrica a 20°C,457,46.51323,12.86407,RW-Corsi dacqua
PN,Sacile,11/06/2013 12:00:00 AM,Conducibilità elettrica a 20°C,414,45.95423,12.49161,RW-Corsi dacqua
TS,Duino-Aurisina,12/12/2013 12:00:00 AM,Conducibilità elettrica a 20°C,399,45.78741,13.59086,RW-Corsi dacqua
PN,Frisanco,08/06/2009 12:00:00 AM,Conducibilità elettrica a 20°C,306,46.19545,12.71116,RW-Corsi dacqua
UD,Buja,09/09/2014 12:00:00 AM,Temperatura acqua,12.9,46.22818,13.10884,RW-Corsi dacqua
UD,Lusevera,08/18/2009 12:00:00 AM,Conducibilità elettrica a 20°C,237,46.25881,13.25641,RW-Corsi dacqua
UD,Prato Carnico,05/25/2017 12:00:00 AM,pH,8.3,46.52118,12.72277,RW-Corsi dacqua
UD,Forni di Sopra,07/06/2010 12:00:00 AM,Fosfati,6.7,46.42353,12.581,RW-Corsi dacqua
UD,Precenicco,10/17/2011 12:00:00 AM,Conducibilità elettrica a 20°C,488,45.78316,13.07991,RW-Corsi dacqua
UD,San Leonardo,02/22/2011 12:00:00 AM,Temperatura acqua,5.6,46.11871,13.52093,RW-Corsi dacqua
UD,Trasaghis,10/19/2020 12:00:00 AM,Conducibilità elettrica a 20°C,264,46.28566,13.06145,RW-Corsi dacqua
PN,Polcenigo,04/02/2015 12:00:00 AM,Temperatura acqua,10.7,46.01217,12.4888,RW-Corsi dacqua
PN,Erto e Casso,03/10/2010 12:00:00 AM,pH,8.3,46.27432,12.38058,RW-Corsi dacqua
PN,Brugnera,02/15/2012 12:00:00 AM,Fosfati,0.2,45.88531,12.52631,RW-Corsi dacqua
PN,Cordenons,02/27/2012 12:00:00 AM,Conducibilità elettrica a 20°C,398,45.97775,12.70505,RW-Corsi dacqua
UD,Fiumicello,05/07/2014 12:00:00 AM,Temperatura acqua,12.4,45.80293,13.43118,RW-Corsi dacqua
UD,Amaro,04/12/2010 12:00:00 AM,pH,8,46.37348,13.05836,RW-Corsi dacqua
UD,Ragogna,11/07/2016 12:00:00 AM,Temperatura acqua,13,46.17663,13.00322,LW-Laghi e invasi
UD,Fiumicello,05/08/2006 12:00:00 AM,Temperatura acqua,15,45.80293,13.43118,RW-Corsi dacqua
UD,Fiumicello,11/11/2009 12:00:00 AM,Conducibilità elettrica a 20°C,289,45.80293,13.43118,RW-Corsi dacqua
UD,Forni Avoltri,07/05/2011 12:00:00 AM,Temperatura acqua,10.5,46.58112,12.8366,RW-Corsi dacqua
UD,Forni Avoltri,08/27/2009 12:00:00 AM,Temperatura acqua,11.2,46.57999,12.78679,RW-Corsi dacqua
UD,Codroipo,01/25/2017 12:00:00 AM,pH,8.4,45.94387,12.99152,RW-Corsi dacqua
UD,Forni di Sopra,12/07/2016 12:00:00 AM,pH,8,46.42258,12.57623,RW-Corsi dacqua
UD,Nimis,10/11/2010 12:00:00 AM,Conducibilità elettrica a 20°C,261,46.21735,13.31774,RW-Corsi dacqua
PN,Sesto al Reghena,04/11/2011 12:00:00 AM,pH,7.9,45.8651,12.86092,RW-Corsi dacqua
PN,Prata di Pordenone,05/31/2010 12:00:00 AM,pH,7.7,45.87325,12.60716,RW-Corsi dacqua
UD,Tarvisio,12/20/2011 12:00:00 AM,Fosfati,0.041,46.50639,13.6,RW-Corsi dacqua
UD,Taipana,04/30/2013 12:00:00 AM,Conducibilità elettrica a 20°C,224,46.23996,13.40766,RW-Corsi dacqua
UD,Venzone,02/10/2015 12:00:00 AM,Temperatura acqua,5.6,46.3349,13.14581,RW-Corsi dacqua
UD,Ragogna,09/05/2017 12:00:00 AM,Conducibilità elettrica a 20°C,253,46.17663,13.00322,LW-Laghi e invasi
UD,San Daniele del Friuli,01/24/2006 12:00:00 AM,pH,7.8,46.2099,13.02744,RW-Corsi dacqua
UD,Villa Santina,12/17/2018 12:00:00 AM,pH,8.2,46.41481,12.90662,RW-Corsi dacqua
UD,Moggio Udinese,04/24/2013 12:00:00 AM,Conducibilità elettrica a 20°C,302,46.44513,13.19093,RW-Corsi dacqua
UD,Resia,03/21/2012 12:00:00 AM,Conducibilità elettrica a 20°C,503,46.36837,13.29485,RW-Corsi dacqua
UD,San Daniele del Friuli,10/20/2014 12:00:00 AM,Fosfati,0.05,46.2099,13.02744,RW-Corsi dacqua
UD,Malborghetto Valbruna,12/19/2011 12:00:00 AM,pH,8.4,46.50373,13.39606,RW-Corsi dacqua
UD,Cividale del Friuli,08/13/2009 12:00:00 AM,Temperatura acqua,21,46.09232,13.43279,RW-Corsi dacqua
PN,Prata di Pordenone,04/10/2013 12:00:00 AM,pH,7.9,45.87325,12.60716,RW-Corsi dacqua
UD,Dogna,06/08/2015 12:00:00 AM,Fosfati,0.05,46.44798,13.3189,RW-Corsi dacqua
UD,Tarvisio,08/26/2010 12:00:00 AM,pH,8.2,46.50256,13.50329,RW-Corsi dacqua
TS,San Dorligo della Valle - Dolina,08/02/2010 12:00:00 AM,Temperatura acqua,16.9,45.61509,13.88149,RW-Corsi dacqua
PN,Pasiano di Pordenone,10/13/2008 12:00:00 AM,Conducibilità elettrica a 20°C,384,45.81916,12.58458,RW-Corsi dacqua
PN,Maniago,09/06/2012 12:00:00 AM,Temperatura acqua,25,46.13177,12.75161,RW-Corsi dacqua
PN,Maniago,02/26/2013 12:00:00 AM,pH,8.4,46.17868,12.71005,RW-Corsi dacqua
TS,Muggia,08/26/2014 12:00:00 AM,Temperatura acqua,15.3,45.58752,13.81634,RW-Corsi dacqua
UD,Forni di Sopra,10/19/2010 12:00:00 AM,Conducibilità elettrica a 20°C,991,46.4294,12.54593,RW-Corsi dacqua
UD,Artegna,05/13/2015 12:00:00 AM,Temperatura acqua,11.4,46.23727,13.12716,RW-Corsi dacqua
UD,Porpetto,10/23/2014 12:00:00 AM,Fosfati,0.05,45.86092,13.22018,RW-Corsi dacqua
UD,Ragogna,08/08/2013 12:00:00 AM,pH,8.2,46.16422,12.95595,RW-Corsi dacqua
UD,Ampezzo,11/23/2015 12:00:00 AM,pH,8.2,46.41852,12.80086,RW-Corsi dacqua
UD,Manzano,10/15/2009 12:00:00 AM,Temperatura acqua,10.1,45.99243,13.38929,RW-Corsi dacqua
TS,San Dorligo della Valle - Dolina,12/18/2014 12:00:00 AM,Conducibilità elettrica a 20°C,483,45.60726,13.82014,RW-Corsi dacqua
UD,Colloredo di Monte Albano,06/06/2019 12:00:00 AM,pH,8.1,46.15054,13.07833,RW-Corsi dacqua
GO,Dolegna del Collio,06/21/2011 12:00:00 AM,Fosfati,0.0368,46.00092,13.46835,RW-Corsi dacqua
TS,Duino-Aurisina,10/18/2010 12:00:00 AM,Fosfati,0.041,45.78741,13.59086,RW-Corsi dacqua
PN,Sesto al Reghena,02/03/2010 12:00:00 AM,Fosfati,0.18,45.84996,12.86262,RW-Corsi dacqua
UD,Trasaghis,11/16/2010 12:00:00 AM,pH,8.1,46.26712,13.05247,RW-Corsi dacqua
UD,Ragogna,08/13/2013 12:00:00 AM,Fosfati,0.153,46.17663,13.00322,LW-Laghi e invasi
TS,Duino-Aurisina,12/04/2012 12:00:00 AM,Conducibilità elettrica a 20°C,350,45.78741,13.59086,RW-Corsi dacqua
TS,Muggia,10/22/2014 12:00:00 AM,Temperatura acqua,13.4,45.58752,13.81634,RW-Corsi dacqua
UD,Gemona del Friuli,11/14/2006 12:00:00 AM,Fosfati,0.214,46.24736,13.12549,RW-Corsi dacqua
UD,Varmo,06/25/2013 12:00:00 AM,Fosfati,0.05,45.88253,12.97478,RW-Corsi dacqua
